# Parameters: bear_hp=420, hp_mult=1.35, def_add=20, boss_hp=2526, boss_def=200, sim_count=2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_id,result,reached_wave,boss_remaining_hp,total_kills,remaining_monsters,remaining_life,total_turns,total_towers_count,tier1_count,tier2_count,tier3_count,buff_add_Fire,buff_add_Ice,buff_add_Physics,buff_add_Electric,buff_mult_Fire,buff_mult_Ice,buff_mult_Physics,buff_mult_Electric,tile_0_status,tile_1_status,tile_2_status,tile_3_status,tile_4_status,tile_5_status,tile_6_status,tile_7_status,tile_8_status,tile_9_status,tile_10_status,tile_11_status,tile_12_status,tile_13_status,tile_14_status,tile_15_status,tile_16_status,tile_17_status,tile_18_status,tile_19_status,tile_20_status,tile_21_status,tile_22_status,tile_23_status,tile_24_status,tile_25_status,tile_26_status,tile_27_status,tile_28_status,tile_29_status,tile_30_status,tile_31_status,tile_32_status,tile_33_status,tile_34_status,tile_35_status
11,WIN,8,0,47,4,5,63,27,10,7,10,90,60,0,0,0,0.4,0,0.2,EMPTY,TOW_03_T1(DMG:24.0),TOW_01_T3(DMG:154.0),TOW_02_T1(DMG:90.0),TOW_01_T3(DMG:174.0),EMPTY,TOW_04_T2(DMG:59.4),EMPTY,TOW_01_T2(DMG:162.0),EMPTY,EMPTY,TOW_02_T3(DMG:170.0),TOW_04_T3(DMG:104.4),TOW_03_T1(DMG:24.0),TOW_01_T2(DMG:132.0),TOW_02_T3(DMG:197.5),TOW_01_T1(DMG:106.0),TOW_03_T3(DMG:104.0),EMPTY,TOW_02_T3(DMG:280.0),TOW_01_T1(DMG:106.0),TOW_02_T2(DMG:120.0),TOW_01_T1(DMG:106.0),EMPTY,TOW_04_T2(DMG:275.4),TOW_02_T3(DMG:280.0),EMPTY,EMPTY,TOW_01_T3(DMG:174.0),TOW_02_T2(DMG:135.0),TOW_04_T1(DMG:32.4),TOW_03_T1(DMG:24.0),TOW_01_T1(DMG:106.0),TOW_02_T3(DMG:170.0),TOW_01_T1(DMG:106.0),TOW_03_T2(DMG:56.0)
12,LOSS,8,1231,37,15,0,62,30,15,10,5,90,0,0,0,0.8,0,0.2,0,EMPTY,TOW_03_T1(DMG:27.0),TOW_01_T3(DMG:206.0),EMPTY,TOW_01_T3(DMG:206.0),TOW_03_T1(DMG:27.0),TOW_04_T1(DMG:28.8),TOW_02_T2(DMG:48.0),TOW_01_T1(DMG:114.0),EMPTY,TOW_01_T3(DMG:266.0),TOW_02_T1(DMG:24.0),TOW_04_T2(DMG:244.8),TOW_03_T2(DMG:63.0),TOW_01_T3(DMG:186.0),EMPTY,TOW_01_T2(DMG:178.0),TOW_03_T1(DMG:27.0),EMPTY,TOW_02_T1(DMG:24.0),TOW_01_T3(DMG:266.0),TOW_02_T2(DMG:48.0),TOW_01_T1(DMG:114.0),TOW_03_T2(DMG:63.0),TOW_04_T1(DMG:28.8),TOW_02_T1(DMG:24.0),TOW_01_T1(DMG:114.0),EMPTY,TOW_01_T1(DMG:114.0),TOW_02_T2(DMG:48.0),TOW_04_T2(DMG:52.8),TOW_03_T1(DMG:27.0),TOW_01_T2(DMG:138.0),TOW_02_T1(DMG:24.0),TOW_01_T2(DMG:138.0),TOW_03_T1(DMG:27.0)
13,LOSS,8,1355.6,39,8,0,58,27,11,10,6,60,0,0,0,0.6,0,0,0,EMPTY,TOW_03_T2(DMG:54.2),TOW_01_T3(DMG:226.0),TOW_02_T1(DMG:23.2),TOW_01_T2(DMG:103.0),TOW_03_T1(DMG:23.2),TOW_04_T1(DMG:27.9),TOW_02_T1(DMG:23.2),TOW_01_T3(DMG:166.0),EMPTY,EMPTY,TOW_02_T3(DMG:85.2),EMPTY,TOW_03_T2(DMG:54.2),TOW_01_T2(DMG:103.0),TOW_02_T3(DMG:85.2),TOW_01_T2(DMG:113.0),EMPTY,EMPTY,TOW_02_T2(DMG:46.5),TOW_01_T1(DMG:81.5),TOW_02_T1(DMG:23.2),TOW_01_T2(DMG:103.0),TOW_03_T1(DMG:23.2),TOW_04_T3(DMG:89.9),TOW_02_T1(DMG:23.2),TOW_01_T1(DMG:81.5),EMPTY,TOW_01_T2(DMG:103.0),EMPTY,TOW_04_T2(DMG:237.2),TOW_03_T1(DMG:23.2),TOW_01_T3(DMG:146.0),TOW_02_T2(DMG:46.5),EMPTY,TOW_03_T1(DMG:23.2)
14,LOSS,8,512.3,39,12,0,63,27,9,11,7,60,30,60,0,0.4,0.2,0,0,EMPTY,TOW_03_T1(DMG:83.2),TOW_01_T3(DMG:218.0),EMPTY,TOW_01_T2(DMG:139.0),TOW_03_T2(DMG:394.2),TOW_04_T1(DMG:27.9),TOW_02_T3(DMG:126.2),TOW_01_T3(DMG:138.0),EMPTY,TOW_01_T3(DMG:158.0),TOW_02_T2(DMG:97.5),EMPTY,TOW_03_T3(DMG:160.8),TOW_01_T1(DMG:79.5),TOW_02_T2(DMG:82.5),EMPTY,TOW_03_T2(DMG:394.2),EMPTY,TOW_02_T3(DMG:236.2),TOW_01_T1(DMG:79.5),TOW_02_T2(DMG:97.5),TOW_01_T1(DMG:79.5),TOW_03_T2(DMG:114.2),TOW_04_T2(DMG:237.2),TOW_02_T1(DMG:56.2),TOW_01_T2(DMG:139.0),EMPTY,EMPTY,TOW_02_T3(DMG:126.2),TOW_04_T2(DMG:51.1),TOW_03_T1(DMG:83.2),EMPTY,TOW_02_T1(DMG:56.2),TOW_01_T2(DMG:139.0),TOW_03_T1(DMG:83.2)
15,LOSS,8,767.6,42,8,0,61,24,6,10,8,90,30,30,0,0.8,0,0,0,EMPTY,TOW_03_T1(DMG:54.0),TOW_01_T2(DMG:148.0),TOW_02_T2(DMG:78.0),TOW_01_T2(DMG:138.0),TOW_03_T2(DMG:86.0),TOW_04_T1(DMG:28.8),EMPTY,TOW_01_T3(DMG:186.0),EMPTY,TOW_01_T2(DMG:138.0),TOW_02_T1(DMG:54.0),EMPTY,TOW_03_T3(DMG:654.0),EMPTY,TOW_02_T2(DMG:93.0),TOW_01_T2(DMG:138.0),EMPTY,EMPTY,TOW_02_T3(DMG:145.5),EMPTY,TOW_02_T3(DMG:118.0),TOW_01_T3(DMG:266.0),TOW_03_T1(DMG:54.0),EMPTY,TOW_02_T1(DMG:54.0),TOW_01_T3(DMG:186.0),EMPTY,TOW_01_T2(DMG:178.0),TOW_02_T1(DMG:54.0),TOW_04_T3(DMG:92.8),EMPTY,TOW_01_T3(DMG:186.0),EMPTY,TOW_01_T2(DMG:138.0),TOW_03_T2(DMG:86.0)
16,LOSS,8,1343.5,39,14,0,65,29,9,10,10,0,0,0,30,0,0.4,0,0,EMPTY,TOW_03_T1(DMG:24.8),EMPTY,TOW_02_T3(DMG:140.2),TOW_01_T1(DMG:16.5),TOW_03_T2(DMG:57.8),TOW_04_T3(DMG:125.7),TOW_02_T3(DMG:140.2),TOW_01_T1(DMG:16.5),EMPTY,TOW_01_T3(DMG:146.0),TOW_02_T2(DMG:121.5),TOW_04_T2(DMG:84.4),TOW_03_T3(DMG:1147.2),TOW_01_T1(DMG:16.5),TOW_02_T1(DMG:30.7),EMPTY,TOW_03_T2(DMG:57.8),EMPTY,TOW_02_T2(DMG:76.5),TOW_01_T2(DMG:33.0),TOW_02_T2(DMG:121.5),TOW_01_T3(DMG:146.0),TOW_03_T1(DMG:24.8),TOW_04_T1(DMG:59.7),TOW_02_T3(DMG:112.7),TOW_01_T3(DMG:146.0),EMPTY,TOW_01_T2(DMG:73.0),TOW_02_T1(DMG:30.7),TOW_04_T1(DMG:59.7),TOW_03_T2(DMG:337.8),TOW_01_T2(DMG:33.0),EMPTY,TOW_01_T3(DMG:86.0),TOW_03_T3(DMG:1147.2)
17,LOSS,8,775.4,39,12,0,60,27,10,9,8,30,0,0,60,0.2,0.2,0.2,0,EMPTY,TOW_03_T2(DMG:63.0),TOW_01_T2(DMG:66.0),TOW_02_T1(DMG:27.0),TOW_01_T3(DMG:122.0),EMPTY,TOW_04_T3(DMG:152.8),TOW_02_T2(DMG:54.0),TOW_01_T1(DMG:48.0),EMPTY,TOW_01_T2(DMG:66.0),TOW_02_T1(DMG:27.0),TOW_04_T3(DMG:152.8),TOW_03_T3(DMG:117.0),EMPTY,TOW_02_T1(DMG:27.0),EMPTY,TOW_03_T3(DMG:637.0),EMPTY,TOW_02_T2(DMG:54.0),TOW_01_T2(DMG:106.0),TOW_02_T2(DMG:54.0),TOW_01_T1(DMG:48.0),TOW_03_T1(DMG:27.0),TOW_04_T3(DMG:152.8),TOW_02_T1(DMG:27.0),TOW_01_T1(DMG:48.0),EMPTY,TOW_01_T3(DMG:102.0),TOW_02_T1(DMG:27.0),TOW_04_T3(DMG:152.8),TOW_03_T1(DMG:27.0),EMPTY,EMPTY,TOW_01_T2(DMG:66.0),TOW_03_T2(DMG:63.0)
18,LOSS,8,140.9,40,9,0,63,29,13,9,7,0,60,0,30,0,1,0,0,EMPTY,TOW_03_T2(DMG:56.0),TOW_01_T3(DMG:64.0),TOW_02_T1(DMG:99.0),TOW_01_T2(DMG:32.0),TOW_03_T1(DMG:24.0),TOW_04_T2(DMG:82.8),TOW_02_T1(DMG:99.0),EMPTY,EMPTY,TOW_01_T1(DMG:16.0),TOW_02_T3(DMG:230.5),EMPTY,TOW_03_T1(DMG:24.0),TOW_01_T1(DMG:16.0),TOW_02_T3(DMG:203.0),TOW_01_T2(DMG:42.0),TOW_03_T1(DMG:24.0),EMPTY,TOW_02_T1(DMG:99.0),TOW_01_T2(DMG:32.0),TOW_02_T3(DMG:313.0),TOW_01_T1(DMG:16.0),TOW_03_T2(DMG:56.0),TOW_04_T1(DMG:58.8),TOW_02_T2(DMG:138.0),TOW_01_T2(DMG:42.0),EMPTY,TOW_01_T2(DMG:32.0),TOW_02_T1(DMG:99.0),TOW_04_T3(DMG:122.8),TOW_03_T1(DMG:24.0),TOW_01_T1(DMG:16.0),EMPTY,TOW_01_T3(DMG:64.0),TOW_03_T3(DMG:624.0)
19,LOSS,8,779.4,41,10,0,61,25,8,8,9,60,60,0,0,0,0.4,0,0,EMPTY,TOW_03_T1(DMG:24.0),EMPTY,TOW_02_T3(DMG:170.0),TOW_01_T1(DMG:76.0),TOW_03_T2(DMG:56.0),TOW_04_T3(DMG:284.8),TOW_02_T1(DMG:90.0),TOW_01_T1(DMG:76.0),EMPTY,EMPTY,TOW_02_T3(DMG:170.0),TOW_04_T1(DMG:28.8),TOW_03_T2(DMG:56.0),TOW_01_T2(DMG:92.0),TOW_02_T2(DMG:135.0),TOW_01_T3(DMG:124.0),EMPTY,EMPTY,TOW_02_T2(DMG:120.0),TOW_01_T1(DMG:76.0),TOW_02_T3(DMG:170.0),TOW_01_T3(DMG:144.0),TOW_03_T2(DMG:336.0),EMPTY,TOW_02_T1(DMG:90.0),TOW_01_T3(DMG:124.0),EMPTY,TOW_01_T3(DMG:124.0),TOW_02_T1(DMG:90.0),EMPTY,TOW_03_T2(DMG:56.0),EMPTY,TOW_02_T2(DMG:180.0),TOW_01_T3(DMG:124.0),EMPTY
20,LOSS,8,-1,36,19,0,60,25,9,9,7,30,0,0,90,0,0,0,0.6,EMPTY,EMPTY,TOW_01_T3(DMG:94.0),TOW_02_T3(DMG:88.0),EMPTY,TOW_03_T2(DMG:56.0),TOW_04_T3(DMG:481.6),TOW_02_T2(DMG:108.0),TOW_01_T1(DMG:46.0),EMPTY,TOW_01_T1(DMG:46.0),TOW_02_T1(DMG:24.0),TOW_04_T3(DMG:217.6),TOW_03_T2(DMG:336.0),TOW_01_T2(DMG:62.0),EMPTY,TOW_01_T2(DMG:102.0),TOW_03_T1(DMG:24.0),EMPTY,TOW_02_T2(DMG:108.0),TOW_01_T1(DMG:46.0),TOW_02_T2(DMG:108.0),TOW_01_T1(DMG:46.0),TOW_03_T3(DMG:104.0),TOW_04_T3(DMG:217.6),EMPTY,EMPTY,EMPTY,TOW_01_T1(DMG:46.0),TOW_02_T1(DMG:24.0),TOW_04_T3(DMG:217.6),TOW_03_T1(DMG:24.0),TOW_01_T2(DMG:62.0),EMPTY,EMPTY,TOW_03_T2(DMG:336.0)
21,LOSS,8,1360.6,41,6,0,56,23,10,7,6,60,0,30,0,0.2,0,0.8,0,EMPTY,TOW_03_T1(DMG:65.2),TOW_01_T3(DMG:130.0),EMPTY,TOW_01_T1(DMG:77.5),TOW_03_T3(DMG:1222.8),EMPTY,TOW_02_T1(DMG:23.2),TOW_01_T2(DMG:135.0),EMPTY,TOW_01_T3(DMG:130.0),EMPTY,EMPTY,TOW_03_T1(DMG:65.2),TOW_01_T1(DMG:77.5),TOW_02_T2(DMG:46.5),EMPTY,TOW_03_T3(DMG:182.8),EMPTY,TOW_02_T1(DMG:23.2),TOW_01_T1(DMG:77.5),TOW_02_T1(DMG:23.2),EMPTY,TOW_03_T2(DMG:112.2),TOW_04_T2(DMG:237.2),TOW_02_T3(DMG:85.2),EMPTY,EMPTY,TOW_01_T2(DMG:95.0),TOW_02_T2(DMG:46.5),EMPTY,TOW_03_T2(DMG:112.2),TOW_01_T1(DMG:77.5),TOW_02_T1(DMG:23.2),TOW_01_T3(DMG:130.0),EMPTY
22,LOSS,8,1008.3,38,13,0,62,27,10,10,7,0,30,90,0,0.2,0,0.8,0,EMPTY,TOW_03_T3(DMG:1286.0),TOW_01_T2(DMG:36.0),TOW_02_T1(DMG:54.0),TOW_01_T1(DMG:18.0),TOW_03_T2(DMG:454.0),TOW_04_T1(DMG:28.8),TOW_02_T1(DMG:54.0),TOW_01_T2(DMG:36.0),EMPTY,TOW_01_T1(DMG:18.0),EMPTY,TOW_04_T2(DMG:52.8),TOW_03_T2(DMG:174.0),TOW_01_T2(DMG:76.0),TOW_02_T3(DMG:118.0),EMPTY,TOW_03_T3(DMG:246.0),EMPTY,TOW_02_T3(DMG:118.0),EMPTY,TOW_02_T2(DMG:78.0),TOW_01_T3(DMG:72.0),TOW_03_T1(DMG:126.0),TOW_04_T2(DMG:52.8),TOW_02_T3(DMG:145.5),EMPTY,EMPTY,TOW_01_T1(DMG:18.0),EMPTY,TOW_04_T1(DMG:28.8),TOW_03_T3(DMG:246.0),TOW_01_T2(DMG:36.0),TOW_02_T2(DMG:78.0),TOW_01_T1(DMG:18.0),TOW_03_T1(DMG:126.0)
23,LOSS,8,997.5,38,14,0,68,26,9,10,7,30,30,90,0,0.2,0,0.6,0,EMPTY,EMPTY,TOW_01_T2(DMG:67.0),TOW_02_T1(DMG:54.8),EMPTY,TOW_03_T3(DMG:756.2),TOW_04_T2(DMG:54.4),TOW_02_T2(DMG:79.5),TOW_01_T2(DMG:67.0),EMPTY,TOW_01_T3(DMG:104.0),EMPTY,TOW_04_T1(DMG:29.7),TOW_03_T1(DMG:123.8),TOW_01_T3(DMG:124.0),TOW_02_T2(DMG:139.5),TOW_01_T1(DMG:48.5),TOW_03_T3(DMG:236.2),EMPTY,TOW_02_T1(DMG:54.8),TOW_01_T2(DMG:67.0),TOW_02_T3(DMG:120.8),TOW_01_T1(DMG:48.5),TOW_03_T2(DMG:168.8),EMPTY,TOW_02_T1(DMG:54.8),TOW_01_T3(DMG:104.0),EMPTY,TOW_01_T2(DMG:67.0),EMPTY,EMPTY,TOW_03_T2(DMG:168.8),TOW_01_T1(DMG:48.5),TOW_02_T3(DMG:120.8),TOW_01_T1(DMG:48.5),TOW_03_T2(DMG:168.8)
